flood_scenario,region,region_key,actor,n_units,mean_failure_probability,median_failure_probability,p75_failure_probability,expected_stressed_margin,p05_stressed_margin,p50_stressed_margin,p95_stressed_margin,expected_stressed_cost_revenue_ratio,historical_flood_exposure_score,dominant_monte_carlo_risk_label,dominant_predicted_vulnerability_label,monte_carlo_priority_signal
Medium,Garut,GARUT,Retail,23,1.0,1.0,1.0,-3834403.406632077,-4094541.718530242,-3822472.57983179,-3489849.2784596556,2.194907296134266,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
Medium,Garut,GARUT,Rice Miller,24,0.5730555555555555,0.8133333333333334,1.0,-3723423.912505134,-5189733.574650571,-3541943.102284057,785897.317556331,1.0508100547987718,0.3949554339103519,Critical Failure Probability,Low Vulnerability,High
Medium,Garut,GARUT,Wholesaler,25,0.9050666666666666,1.0,1.0,-22703524.474539023,-26477980.129872814,-22453478.802920487,-18824054.03285765,1.3618080600280398,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
Medium,Indramayu,INDRAMAYU,Farmer,62,0.15838709677419355,0.0,0.0,9872665.9778403,8695992.86542752,9890682.861184794,12356593.808857992,0.7074441627535495,0.0559353146853146,Low Failure Probability,Low Vulnerability,Watch
Medium,Indramayu,INDRAMAYU,Middlemen,16,0.72375,1.0,1.0,-30221476.701785125,-35306198.19467794,-30148063.422135007,-25119249.909916915,1.362427902994182,0.0559353146853146,Critical Failure Probability,High Vulnerability,High
Medium,Indramayu,INDRAMAYU,Retail,16,1.0,1.0,1.0,-4073359.416171292,-4330623.6225586925,-4080206.1784682875,-3792225.809257227,2.651932966572683,0.0559353146853146,Critical Failure Probability,High Vulnerability,Severe
Medium,Indramayu,INDRAMAYU,Rice Miller,17,0.8168627450980392,1.0,1.0,-20517269.290308252,-45924210.328782015,-20724679.808873728,-10631924.124670887,1.118063381977979,0.0559353146853146,Critical Failure Probability,Low Vulnerability,Severe
Medium,Indramayu,INDRAMAYU,Wholesaler,16,0.5804166666666667,0.8666666666666667,0.9733333333333333,-10131751.185294487,-32455350.41694332,-10276586.123842552,28472097.48180352,1.0357412116518776,0.0559353146853146,Critical Failure Probability,Low Vulnerability,High
Medium,Karawang,KARAWANG,Farmer,53,0.10289308176100628,0.0,0.0,27502185.139701534,23966776.50619978,27618099.718937665,33860502.713628806,0.6174882694938708,1.0,Low Failure Probability,Low Vulnerability,Watch
Medium,Karawang,KARAWANG,Middlemen,14,1.0,1.0,1.0,-17097696.016867314,-22062911.66153726,-17226456.985325262,-12256658.944009818,1.30125826522723,1.0,Critical Failure Probability,High Vulnerability,Severe
Medium,Karawang,KARAWANG,Retail,16,1.0,1.0,1.0,-4279511.599507719,-4612186.047851989,-4278024.185102376,-3960770.769264664,2.586886018079648,1.0,Critical Failure Probability,High Vulnerability,Severe
Medium,Karawang,KARAWANG,Rice Miller,14,1.0,1.0,1.0,-27095111.04434236,-33297993.245215103,-27205648.933340102,-21783381.50135555,1.3595896669414191,1.0,Critical Failure Probability,High Vulnerability,Severe
Medium,Karawang,KARAWANG,Wholesaler,14,0.7857142857142857,1.0,1.0,-51892922.21415414,-64702668.714409344,-51859649.68734727,-39912977.20770942,1.3038659144508387,1.0,Critical Failure Probability,High Vulnerability,Severe
Medium,Subang,SUBANG,Farmer,77,0.15601731601731603,0.0,0.0,7233572.545094913,6139603.753411867,7245812.573769081,8681756.711169673,0.6431116008170733,0.3641466525278,Low Failure Probability,Low Vulnerability,Watch
