flood_scenario,region,actor,n_units,fail_share,survive_share,median_stressed_margin,median_stressed_cost_revenue_ratio,median_combined_buffer,dominant_stress_risk_label,dominant_predicted_vulnerability_label,stress_priority_signal
Low,Indramayu,Middlemen,16,0.5625,0.4375,-10798286.02171497,1.1418547885990338,-0.08748075104669877,Already Failed,High Vulnerability,High
Low,Indramayu,Retail,16,1.0,0.0,-3296050.0,2.220225,-1.1145,Already Failed,High Vulnerability,Severe
Low,Indramayu,Rice Miller,17,0.35294117647058826,0.6470588235294118,11720472.717187136,0.9382398190730975,0.10643826754943103,Borderline,Low Vulnerability,Watch
Low,Indramayu,Wholesaler,16,0.0625,0.9375,206775000.0,0.8685037878787878,0.17285353535353537,Survives Scenario,Low Vulnerability,Manageable
Low,Karawang,Farmer,53,0.09433962264150944,0.9056603773584906,42510500.0,0.5064705882352941,0.5176470588235295,Survives Scenario,Low Vulnerability,Manageable
Low,Karawang,Middlemen,14,0.5714285714285714,0.42857142857142855,-2538750.0,1.0686799242424243,-0.017790404040404044,Already Failed,Medium Vulnerability,High
Low,Karawang,Retail,16,1.0,0.0,-3373500.0,2.1245,-1.0233333333333334,Already Failed,High Vulnerability,Severe
Low,Karawang,Rice Miller,14,0.7857142857142857,0.21428571428571427,-9333034.935897443,1.1176229145375247,-0.06440277575002354,Already Failed,High Vulnerability,Severe
Low,Karawang,Wholesaler,14,0.7857142857142857,0.21428571428571427,-12182500.0,1.068929768041237,-0.01802835051546392,Already Failed,High Vulnerability,Severe
Low,Subang,Farmer,77,0.09090909090909091,0.9090909090909091,12370500.0,0.5340151515151516,0.4914141414141414,Survives Scenario,Low Vulnerability,Manageable
Low,Subang,Middlemen,21,0.47619047619047616,0.5238095238095238,7505000.0,0.9685192953020134,0.0776006711409396,Already Failed,High Vulnerability,Watch
Low,Subang,Retail,19,1.0,0.0,-2775000.0,1.82,-0.7333333333333333,Already Failed,High Vulnerability,Severe
Low,Subang,Rice Miller,21,0.19047619047619047,0.8095238095238095,65204858.74985224,0.7901963965985964,0.24743200323943196,Survives Scenario,Low Vulnerability,Manageable
Low,Subang,Wholesaler,21,0.14285714285714285,0.8571428571428571,66525000.0,0.653972602739726,0.3771689497716895,Survives Scenario,Low Vulnerability,Manageable
Low,Tasikmalaya,Farmer,110,0.02727272727272727,0.9727272727272728,6790425.0,0.4413888888888889,0.5796296296296296,Survives Scenario,Low Vulnerability,Manageable
Low,Tasikmalaya,Middlemen,29,0.9655172413793104,0.034482758620689655,-9879922.827632844,1.3608901515151515,-0.29608585858585856,Already Failed,High Vulnerability,Severe
Low,Tasikmalaya,Retail,28,1.0,0.0,-3356437.5,2.1188124999999998,-1.0179166666666668,Already Failed,High Vulnerability,Severe
Low,Tasikmalaya,Rice Miller,29,0.4482758620689655,0.5517241379310345,1306000.0,0.975807351881099,0.07065966487514386,Survives Scenario,Medium Vulnerability,Watch
Medium,Garut,Farmer,98,0.23469387755102042,0.7653061224489796,5436000.0,0.47982614214925534,0.5827598763919518,Survives Scenario,Low Vulnerability,Manageable
Medium,Garut,Middlemen,24,1.0,0.0,-15088129.763597876,1.5614402958152955,-0.35777417027417024,Already Failed,High Vulnerability,Severe
Medium,Garut,Retail,23,1.0,0.0,-3514999.999999999,2.004285714285714,-0.7428571428571429,Already Failed,High Vulnerability,Severe
Medium,Garut,Rice Miller,24,0.4583333333333333,0.5416666666666666,2831284.21598012,0.9594458314102323,0.1656992770345805,Survives Scenario,Low Vulnerability,Watch
Medium,Garut,Wholesaler,25,0.88,0.12,-17602499.999999993,1.2414772727272725,-0.07954545454545454,Already Failed,High Vulnerability,Severe
Medium,Indramayu,Farmer,62,0.11290322580645161,0.8870967741935484,14217500.000000004,0.6487556896923683,0.4358646176588101,Survives Scenario,Low Vulnerability,Manageable
