actor,region,region_key,dmu,predicted_vulnerability_label,historical_flood_exposure_score,historical_flood_exposure_level,external_data_coverage,base_cost,base_revenue,base_margin,base_cost_revenue_ratio,cost_shock_tolerance,revenue_drop_tolerance,combined_break_even_buffer,break_even_resilience_label
Farmer,Garut,GARUT,80,High Vulnerability,0.3949554339103519,Medium,multi-year,12842500.0,12840000.0,-2500.0,1.0001947040498442,-0.00019466614755693986,-0.00019470404984423675,-0.00019470404984423675,Already Failed
Farmer,Garut,GARUT,81,Low Vulnerability,0.3949554339103519,Medium,multi-year,3502000.0,8325000.0,4823000.0,0.42066066066066066,1.3772130211307825,0.5793393393393393,0.5793393393393393,Resilient
Farmer,Garut,GARUT,82,Low Vulnerability,0.3949554339103519,Medium,multi-year,3320000.0,9300000.0,5980000.0,0.35698924731182796,1.8012048192771084,0.6430107526881721,0.6430107526881721,Resilient
Farmer,Garut,GARUT,83,Low Vulnerability,0.3949554339103519,Medium,multi-year,3390000.0,9300000.0,5910000.0,0.36451612903225805,1.7433628318584071,0.635483870967742,0.635483870967742,Resilient
Farmer,Garut,GARUT,84,Low Vulnerability,0.3949554339103519,Medium,multi-year,3360000.0,9300000.0,5940000.0,0.36129032258064514,1.7678571428571428,0.6387096774193548,0.6387096774193548,Resilient
Farmer,Garut,GARUT,85,High Vulnerability,0.3949554339103519,Medium,multi-year,11901000.0,10200000.0,-1701000.0,1.166764705882353,-0.14292916561633476,-0.16676470588235295,-0.16676470588235295,Already Failed
Farmer,Garut,GARUT,86,High Vulnerability,0.3949554339103519,Medium,multi-year,7762000.0,6590000.0,-1172000.0,1.177845220030349,-0.1509920123679464,-0.17784522003034903,-0.17784522003034903,Already Failed
Farmer,Garut,GARUT,87,High Vulnerability,0.3949554339103519,Medium,multi-year,12856400.0,12600000.0,-256400.0,1.0203492063492063,-0.019943374506082575,-0.02034920634920635,-0.02034920634920635,Already Failed
Farmer,Garut,GARUT,88,High Vulnerability,0.3949554339103519,Medium,multi-year,9554800.0,8495000.0,-1059800.0,1.1247557386698057,-0.11091807259178632,-0.12475573866980577,-0.12475573866980577,Already Failed
Farmer,Garut,GARUT,89,Low Vulnerability,0.3949554339103519,Medium,multi-year,7000000.0,15000000.0,8000000.0,0.4666666666666667,1.1428571428571428,0.5333333333333333,0.5333333333333333,Resilient
Farmer,Garut,GARUT,90,Low Vulnerability,0.3949554339103519,Medium,multi-year,5310000.0,12720000.0,7410000.0,0.41745283018867924,1.3954802259887005,0.5825471698113207,0.5825471698113207,Resilient
Farmer,Garut,GARUT,91,High Vulnerability,0.3949554339103519,Medium,multi-year,7673200.0,6544000.0,-1129200.0,1.1725550122249389,-0.14716154928843247,-0.17255501222493888,-0.17255501222493888,Already Failed
Farmer,Garut,GARUT,92,Medium Vulnerability,0.3949554339103519,Medium,multi-year,8054000.0,8180000.0,126000.0,0.9845965770171149,0.015644400297988578,0.015403422982885086,0.015403422982885086,Very Fragile
Farmer,Garut,GARUT,93,Low Vulnerability,0.3949554339103519,Medium,multi-year,5082000.0,16200000.0,11118000.0,0.3137037037037037,2.187721369539551,0.6862962962962963,0.6862962962962963,Resilient
