region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,base_priority_sort_score,regional_exposure_priority_modifier,priority_sort_score,priority_reason,recommended_action,region_key,mean_failure_probability,median_failure_probability,p75_failure_probability,dominant_monte_carlo_risk_label,monte_carlo_priority_signal,expected_stressed_margin,p05_stressed_margin,p50_stressed_margin,p95_stressed_margin,historical_flood_exposure_score,historical_flood_exposure_level,vulnerability_component,hazard_component,monte_carlo_failure_component,external_exposure_component,monte_carlo_enhanced_priority_score,monte_carlo_enhanced_priority_label,monte_carlo_priority_reason,monte_carlo_priority_rank
Indramayu,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-3855743.283631993,2.433449128343532,Critical,5,0.8833333333333333,1.0055935314685314,0.888274286130536,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",INDRAMAYU,1.0,1.0,1.0,Critical Failure Probability,Severe,-4073359.416171292,-4330623.6225586925,-4080206.178468288,-3792225.809257227,0.0559353146853146,Low,1.0,0.55,1.0,0.0559353146853146,0.7705935314685315,High,Vulnerability=High Vulnerability; Flood=Medium; MC failure=100.0%; Historical exposure=5.6%,21
Tasikmalaya,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-3962407.950819673,2.320802650273224,Critical,5,0.8833333333333333,1.000655737704918,0.883912568306011,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=0.01,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",TASIKMALAYA,1.0,1.0,1.0,Critical Failure Probability,Severe,-4199865.243001145,-4495334.298661169,-4204838.504313095,-3906080.378538424,0.0065573770491803,Low,1.0,0.55,1.0,0.0065573770491803,0.765655737704918,High,Vulnerability=High Vulnerability; Flood=Medium; MC failure=100.0%; Historical exposure=0.7%,22
Tasikmalaya,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.7931034482758621,1.0,0.0,Already Failed,-7685346.798251651,1.2960858585858586,-13817541.639344268,1.4906262212286805,Critical,5,0.8833333333333333,1.000655737704918,0.883912568306011,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.30; HistFloodExp=0.01,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",TASIKMALAYA,1.0,1.0,1.0,Critical Failure Probability,Severe,-17258868.44553314,-19487055.042068917,-17410002.872424655,-14554325.563851936,0.0065573770491803,Low,1.0,0.55,1.0,0.0065573770491803,0.765655737704918,High,Vulnerability=High Vulnerability; Flood=Medium; MC failure=100.0%; Historical exposure=0.7%,23
Tasikmalaya,Rice Miller,High,0.5499976285304322,Medium Vulnerability,0.2758620689655172,0.9310344827586208,0.0689655172413793,Critical Under High Stress,2160000.0,0.929340335124856,-7294197.493418165,1.2083252567118457,Critical,5,0.8362068965517241,1.000655737704918,0.8367552289429057,Flood=High; Vulnerability=Medium Vulnerability; FailShare=93%; Median C/R=0.93; HistFloodExp=0.01,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity.",TASIKMALAYA,0.997816091954023,1.0,1.0,Critical Failure Probability,Severe,-15113691.439086497,-19306009.887149155,-15171219.723979844,-9838697.125822268,0.0065573770491803,Low,0.6,1.0,0.997816091954023,0.0065573770491803,0.7601097606934237,High,Vulnerability=Medium Vulnerability; Flood=High; MC failure=99.8%; Historical exposure=0.7%,24
Karawang,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-3403850.0,2.1346166666666666,High,4,0.7666666666666666,1.1,0.8433333333333334,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.,KARAWANG,1.0,1.0,1.0,Critical Failure Probability,Severe,-3503306.595230084,-3636472.449729318,-3501219.4516456607,-3362810.209037023,1.0,High,1.0,0.2,1.0,1.0,0.7599999999999999,High,Vulnerability=High Vulnerability; Flood=Low; MC failure=100.0%; Historical exposure=100.0%,25
Subang,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.4285714285714285,0.5714285714285714,0.4285714285714285,Already Failed,14840000.0,0.9223993288590604,-7844958.611071303,1.065797557606388,High,4,0.7976190476190477,1.03641466525278,0.8266640782373365,Flood=Medium; Vulnerability=High Vulnerability; FailShare=57%; Median C/R=0.92; HistFloodExp=0.36,Prepare contingency plan because many units fail under stress scenario.,SUBANG,0.8176190476190477,1.0,1.0,Critical Failure Probability,Severe,-13876094.04377274,-21099713.7866016,-13801849.012822747,-8718862.082070882,0.3641466525278,Medium,1.0,0.55,0.8176190476190477,0.3641466525278,0.7558194271575419,High,Vulnerability=High Vulnerability; Flood=Medium; MC failure=81.8%; Historical exposure=36.4%,26
Karawang,Rice Miller,Low,0.4500022590135356,High Vulnerability,0.7142857142857143,0.7857142857142857,0.2142857142857142,Already Failed,-5688835.470085483,1.0644027757500236,-9782477.959401712,1.122944928416275,High,4,0.7238095238095238,1.1,0.7961904761904762,Flood=Low; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.06; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.,KARAWANG,0.9666666666666668,1.0,1.0,Critical Failure Probability,Severe,-12311440.011073422,-15041968.86691371,-12288693.843254404,-10324680.328895545,1.0,High,1.0,0.2,0.9666666666666668,1.0,0.7516666666666666,High,Vulnerability=High Vulnerability; Flood=Low; MC failure=96.7%; Historical exposure=100.0%,27
Karawang,Middlemen,Medium,0.4999999437061118,Medium Vulnerability,0.5,1.0,0.0,Fails Under Scenario,-1525000.0,1.017790404040404,-9391250.0,1.1857258207070709,Critical,5,0.7333333333333334,1.1,0.8066666666666668,Flood=Medium; Vulnerability=Medium Vulnerability; FailShare=100%; Median C/R=1.02; HistFloodExp=1.00,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",KARAWANG,1.0,1.0,1.0,Critical Failure Probability,Severe,-17097696.016867314,-22062911.66153726,-17226456.985325262,-12256658.944009818,1.0,High,0.6,0.55,1.0,1.0,0.725,High,Vulnerability=Medium Vulnerability; Flood=Medium; MC failure=100.0%; Historical exposure=100.0%,28
Karawang,Wholesaler,Low,0.4500022590135356,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-12835750.0,1.0740199097938143,High,4,0.7238095238095238,1.1,0.7961904761904762,Flood=Low; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.,KARAWANG,0.7857142857142857,1.0,1.0,Critical Failure Probability,Severe,-18958959.331506856,-23581922.58661683,-18956631.541829318,-13456934.65289855,1.0,High,1.0,0.2,0.7857142857142857,1.0,0.7064285714285714,High,Vulnerability=High Vulnerability; Flood=Low; MC failure=78.6%; Historical exposure=100.0%,29
Indramayu,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.5625,0.625,0.375,Already Failed,-6617415.258776158,1.0874807510466988,-23188016.813184373,1.2515152923740638,High,4,0.8083333333333333,1.0055935314685314,0.8128547712703962,Flood=Medium; Vulnerability=High Vulnerability; FailShare=62%; Median C/R=1.09; HistFloodExp=0.06,Prepare contingency plan because many units fail under stress scenario.,INDRAMAYU,0.72375,1.0,1.0,Critical Failure Probability,High,-30221476.701785125,-35306198.19467794,-30148063.422135007,-25119249.909916915,0.0559353146853146,Low,1.0,0.55,0.72375,0.0559353146853146,0.7015310314685315,High,Vulnerability=High Vulnerability; Flood=Medium; MC failure=72.4%; Historical exposure=5.6%,30
