actor,region,region_key,dmu,predicted_vulnerability_label,base_cost,base_revenue,base_margin,historical_flood_exposure_score,historical_flood_exposure_level,external_data_coverage,flood_scenario,flood_probability_reference,monte_carlo_n_simulations,exposure_stress_modifier,failure_probability,expected_stressed_margin,p05_stressed_margin,p50_stressed_margin,p95_stressed_margin,expected_stressed_cost_revenue_ratio,cost_shock_min,cost_shock_mode,cost_shock_max,revenue_shock_min,revenue_shock_mode,revenue_shock_max,monte_carlo_risk_label
Farmer,Garut,GARUT,31,Low Vulnerability,8616000.0,15150000.0,6534000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,5611536.368540756,5337034.122088788,5608087.685677622,5896911.44485329,0.6177247819126626,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,32,Low Vulnerability,5564000.0,10100000.0,4536000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,3931125.4020271474,3762552.018363842,3928507.1744362097,4106809.7301427717,0.5982195486056653,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,33,Low Vulnerability,11440000.0,30000000.0,18560000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,17022028.892650373,16549446.404459205,17011956.225093804,17513282.534034785,0.4141923004098358,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,34,Low Vulnerability,7754000.0,19000000.0,11246000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,10249897.162461504,9930823.508046452,10255079.935503922,10568209.266113963,0.4430837281922685,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,35,Low Vulnerability,17042000.0,27540000.0,10498000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,8762357.14666951,8253881.672413506,8760887.753897948,9270548.766471846,0.6716395370762542,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,36,Low Vulnerability,19005000.0,24750000.0,5745000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,3983168.84516226,3433421.4590643514,3978293.903140487,4539824.0378836505,0.8339439105866413,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,37,Low Vulnerability,11801000.0,14850000.0,3049000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,1975456.6524938254,1635104.6465953528,1976848.532007333,2313576.2302688826,0.8628306742939089,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,38,Low Vulnerability,8054000.0,9900000.0,1846000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,1114681.1116379676,904247.103219444,1119137.942588728,1334354.6360898698,0.8838034079043858,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,39,Low Vulnerability,11310000.0,14850000.0,3540000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,2487370.4712441387,2152616.0138550103,2490001.7832156755,2804137.4544980736,0.8271988880994747,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,40,Low Vulnerability,5318000.0,16875000.0,11557000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,10755364.264095504,10489951.246120417,10755366.746015698,11018685.9576207,0.34236527161702257,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,41,Low Vulnerability,40520000.0,49500000.0,8980000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,5322519.01536661,4231873.539915318,5332146.782509163,6398761.60123473,0.8890753040664349,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
Farmer,Garut,GARUT,42,Low Vulnerability,8154000.0,9900000.0,1746000.0,0.3949554339103519,Medium,multi-year,Low,0.4500022590135356,1000,1.0394955433910351,0.0,1006708.3727888501,785887.1985451283,1009084.7906572344,1228747.463502801,0.8950379084534573,0.02,0.05,0.08,0.01,0.03,0.05,Low Failure Probability
