region,actor,flood_scenario,lhs_enhanced_priority_score,lhs_mean_failure_probability,historical_flood_exposure_score,removed_component,removed_component_label,ablated_priority_score,score_change,absolute_score_change,full_rank,ablated_rank,rank_shift
Indramayu,Retail,Medium,0.8222601981351981,1.0,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.7265541509772275,-0.0957060471579706,0.0957060471579706,22.0,28.0,6.0
Tasikmalaya,Retail,Medium,0.8173224043715847,1.0,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.7189575451870531,-0.09836485918453153,0.09836485918453153,23.0,29.0,6.0
Karawang,Rice Miller,Low,0.8164583333333333,0.9625,1.0,lhs_component_vulnerability,Vulnerability,0.717628205128205,-0.09883012820512826,0.09883012820512826,24.0,30.0,6.0
Tasikmalaya,Middlemen,Medium,0.8123224043715846,1.0,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.7112652374947455,-0.10105716687683919,0.10105716687683919,25.0,31.0,6.0
Subang,Middlemen,Medium,0.8023075223956372,0.8169047619047619,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.6958577267625184,-0.10644979563311874,0.10644979563311874,26.0,32.0,6.0
Karawang,Middlemen,Medium,0.7949999999999999,1.0,1.0,lhs_component_vulnerability,Vulnerability,0.8641025641025639,0.06910256410256399,0.06910256410256399,27.0,11.0,-16.0
Tasikmalaya,Rice Miller,High,0.7760580365554927,0.9982758620689656,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.8349610818802452,0.058903045324752545,0.058903045324752545,28.0,18.0,-10.0
Garut,Retail,Low,0.7713343115069773,0.9940217391304348,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.6482066330876572,-0.12312767841932004,0.12312767841932004,29.0,37.0,8.0
Karawang,Wholesaler,Low,0.7697619047619048,0.7857142857142857,1.0,lhs_component_vulnerability,Vulnerability,0.6457875457875457,-0.12397435897435904,0.12397435897435904,30.0,38.0,8.0
Subang,Retail,Low,0.7697479985861134,1.0,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.6457661516709436,-0.12398184691516978,0.12398184691516978,31.0,39.0,8.0
Garut,Middlemen,Low,0.7678288767243686,1.0,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.6428136564990284,-0.12501522022534017,0.12501522022534017,32.0,41.0,9.0
Indramayu,Middlemen,Medium,0.7487836356351981,0.72609375,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.6135132855926122,-0.13527035004258592,0.13527035004258592,33.0,43.0,10.0
Indramayu,Retail,Low,0.7389268648018649,1.0,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.5983490227720996,-0.1405778420297653,0.1405778420297653,34.0,46.0,12.0
Tasikmalaya,Retail,Low,0.7339890710382514,1.0,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.5907524169819252,-0.14323665405632624,0.14323665405632624,35.0,47.0,12.0
Tasikmalaya,Middlemen,Low,0.7204545882796306,0.9658620689655172,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.5699301358148162,-0.15052445246481438,0.15052445246481438,36.0,49.0,13.0
Garut,Wholesaler,Low,0.7144538767243686,0.8065000000000001,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.5606982718836437,-0.1537556048407248,0.1537556048407248,37.0,50.0,13.0
Garut,Rice Miller,High,0.6862403350577019,0.9503125,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.8762671821400541,0.19002684708235218,0.19002684708235218,38.0,8.0,-30.0
Subang,Rice Miller,High,0.6799563319194467,0.9375,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.8665994850042769,0.18664315308483015,0.18664315308483015,39.0,10.0,-29.0
Tasikmalaya,Rice Miller,Medium,0.6623152204635386,0.8766379310344827,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.6599721340464695,-0.0023430864170691512,0.0023430864170691512,40.0,35.0,-5.0
Indramayu,Rice Miller,High,0.6562675510763746,0.9660294117647058,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.8301552067841657,0.17388765570779108,0.17388765570779108,41.0,19.0,-22.0
Karawang,Middlemen,Low,0.6557291666666667,0.77625,1.0,lhs_component_vulnerability,Vulnerability,0.6498397435897435,-0.005889423076923195,0.005889423076923195,42.0,36.0,-6.0
Subang,Middlemen,Low,0.6402539509670657,0.5020238095238095,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.44654453994933163,-0.1937094110177341,0.1937094110177341,43.0,56.0,13.0
Indramayu,Middlemen,Low,0.6315440523018648,0.59046875,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.4331446958490226,-0.19839935645284223,0.19839935645284223,44.0,58.0,14.0
Indramayu,Wholesaler,High,0.6006976981351981,0.75375,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.744663125336202,0.14396542720100391,0.14396542720100391,45.0,25.0,-20.0
Karawang,Farmer,High,0.5609827044025156,0.2472641509433962,1.0,lhs_component_vulnerability,Vulnerability,0.6835631349782292,0.12258043057571355,0.12258043057571355,46.0,33.0,-13.0
Subang,Wholesaler,High,0.5557896652527801,0.4508333333333333,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.6755738439786358,0.11978417872585578,0.11978417872585578,47.0,34.0,-13.0
Indramayu,Rice Miller,Medium,0.5350298059783354,0.8144117647058824,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.6436355989410285,0.10860579296269313,0.10860579296269313,48.0,40.0,-8.0
Garut,Farmer,High,0.528024454955661,0.3574489795918367,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.632858135829222,0.10483368087356104,0.10483368087356104,49.0,42.0,-7.0
Garut,Rice Miller,Medium,0.5090788767243686,0.5750000000000001,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.6037110923964643,0.09463221567209568,0.09463221567209568,50.0,44.0,-6.0
Subang,Farmer,High,0.5068475656856803,0.2850649350649351,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.600278306183098,0.09343074049741762,0.09343074049741762,51.0,45.0,-6.0
Indramayu,Farmer,High,0.4906876174900368,0.3437096774193548,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.5754168474205693,0.0847292299305325,0.0847292299305325,52.0,48.0,-4.0
Tasikmalaya,Rice Miller,Low,0.4860077491991708,0.5047413793103448,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.38872987056282693,-0.09727787863634385,0.09727787863634385,53.0,61.0,8.0
Indramayu,Wholesaler,Medium,0.4724815523018648,0.57421875,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.547407516361843,0.07492596405997826,0.07492596405997826,54.0,51.0,-3.0
Subang,Rice Miller,Medium,0.4610872843003989,0.3953571428571428,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.529877873282665,0.06879058898226609,0.06879058898226609,55.0,52.0,-3.0
Tasikmalaya,Farmer,High,0.4488451316443119,0.1960909090909091,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.5110437922733003,0.062198660628988434,0.062198660628988434,56.0,53.0,-3.0
Karawang,Farmer,Medium,0.4415526729559748,0.102877358490566,1.0,lhs_component_vulnerability,Vulnerability,0.499824625060474,0.0582719521044992,0.0582719521044992,57.0,54.0,-3.0
Garut,Farmer,Medium,0.4275163767243685,0.28875,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.478230323165695,0.05071394644132654,0.05071394644132654,58.0,55.0,-3.0
Subang,Wholesaler,Medium,0.4004920462051609,0.1629761904761904,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.43665443005922183,0.03616238385406095,0.03616238385406095,59.0,57.0,-2.0
Subang,Farmer,Medium,0.3913794920926068,0.156525974025974,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.4226351160399078,0.03125562394730097,0.03125562394730097,60.0,59.0,-1.0
Garut,Rice Miller,Low,0.3904851267243685,0.4339583333333333,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.4212591693195412,0.03077404259517269,0.03077404259517269,61.0,60.0,-1.0
Indramayu,Rice Miller,Low,0.3646376491155902,0.4661764705882353,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.38149381915219,0.016856170036599782,0.016856170036599782,62.0,62.0,0.0
Indramayu,Farmer,Medium,0.3608522680276712,0.1577016129032258,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.37567015594000674,0.01481788791233557,0.01481788791233557,63.0,63.0,0.0
Karawang,Farmer,Low,0.3560849056603773,0.0943396226415094,1.0,lhs_component_vulnerability,Vulnerability,0.3683357522980163,0.012250846637638979,0.012250846637638979,64.0,64.0,0.0
Tasikmalaya,Farmer,Medium,0.3354549801291604,0.0758636363636363,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.3365974053269132,0.001142425197752761,0.001142425197752761,65.0,65.0,0.0
Subang,Rice Miller,Low,0.3265337128718275,0.1904761904761904,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.32287237877717057,-0.0036613340946569095,0.0036613340946569095,66.0,66.0,0.0
Garut,Farmer,Low,0.3263386556359331,0.2173724489795918,0.3949554339103519,lhs_component_vulnerability,Vulnerability,0.32257229072194826,-0.0037663649139848543,0.0037663649139848543,67.0,67.0,0.0
Subang,Wholesaler,Low,0.3121289509670657,0.1428571428571428,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.3007112066159984,-0.011417744351067294,0.011417744351067294,68.0,68.0,0.0
Subang,Farmer,Low,0.2958302496683643,0.1076623376623376,0.3641466525278,lhs_component_vulnerability,Vulnerability,0.27563628154107334,-0.020193968127290962,0.020193968127290962,69.0,69.0,0.0
Indramayu,Wholesaler,Low,0.2735232189685314,0.11171875,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.24131777277209954,-0.03220544619643184,0.03220544619643184,70.0,70.0,0.0
Indramayu,Farmer,Low,0.2661479669524024,0.1122177419354838,0.0559353146853146,lhs_component_vulnerability,Vulnerability,0.229971231208824,-0.03617673574357838,0.03617673574357838,71.0,71.0,0.0
Tasikmalaya,Farmer,Low,0.2420989195230998,0.0357727272727272,0.0065573770491803,lhs_component_vulnerability,Vulnerability,0.1929726967022048,-0.049126222820895016,0.049126222820895016,72.0,72.0,0.0
Karawang,Retail,High,1.0,1.0,1.0,lhs_component_flood,Flood scenario,0.9999999999999999,-1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,0.0
Karawang,Rice Miller,High,0.9925,1.0,1.0,lhs_component_flood,Flood scenario,0.9899999999999999,-0.0025000000000001688,0.0025000000000001688,2.0,4.0,2.0
Karawang,Wholesaler,High,0.9561607142857144,0.8646428571428572,1.0,lhs_component_flood,Flood scenario,0.941547619047619,-0.014613095238095397,0.014613095238095397,3.0,7.0,4.0
Garut,Retail,High,0.9394955433910352,1.0,0.3949554339103519,lhs_component_flood,Flood scenario,0.9193273911880468,-0.0201681522029884,0.0201681522029884,4.0,8.0,4.0
Subang,Retail,High,0.93641466525278,1.0,0.3641466525278,lhs_component_flood,Flood scenario,0.9152195536703732,-0.021195111582406834,0.021195111582406834,5.0,13.0,8.0
Garut,Middlemen,High,0.9344955433910352,1.0,0.3949554339103519,lhs_component_flood,Flood scenario,0.9126607245213801,-0.021834818869655104,0.021834818869655104,6.0,16.0,10.0
Karawang,Retail,Medium,0.9166666666666666,1.0,1.0,lhs_component_flood,Flood scenario,0.9999999999999999,0.08333333333333326,0.08333333333333326,7.0,1.0,-6.0
Garut,Wholesaler,High,0.9104205433910352,0.9237,0.3949554339103519,lhs_component_flood,Flood scenario,0.8805607245213802,-0.02985981886965494,0.02985981886965494,8.0,19.0,11.0
Karawang,Rice Miller,Medium,0.9091666666666666,1.0,1.0,lhs_component_flood,Flood scenario,0.9899999999999999,0.08083333333333331,0.08083333333333331,9.0,4.0,-5.0
Subang,Middlemen,High,0.9084979985861134,0.9083333333333332,0.3641466525278,lhs_component_flood,Flood scenario,0.877997331448151,-0.0305006671379624,0.0305006671379624,10.0,20.0,10.0
Indramayu,Retail,High,0.9055935314685316,1.0,0.0559353146853146,lhs_component_flood,Flood scenario,0.8741247086247085,-0.03146882284382313,0.03146882284382313,11.0,22.0,11.0
Tasikmalaya,Retail,High,0.900655737704918,1.0,0.0065573770491803,lhs_component_flood,Flood scenario,0.8675409836065573,-0.03311475409836073,0.03311475409836073,12.0,25.0,13.0
Tasikmalaya,Middlemen,High,0.895655737704918,1.0,0.0065573770491803,lhs_component_flood,Flood scenario,0.8608743169398906,-0.03478142076502744,0.03478142076502744,13.0,28.0,15.0
Indramayu,Middlemen,High,0.8880154064685315,0.9496875,0.0559353146853146,lhs_component_flood,Flood scenario,0.8506872086247085,-0.03732819784382302,0.03732819784382302,14.0,30.0,16.0
Karawang,Middlemen,High,0.8783333333333333,1.0,1.0,lhs_component_flood,Flood scenario,0.8377777777777776,-0.04055555555555568,0.04055555555555568,15.0,34.0,19.0
Garut,Retail,Medium,0.8561622100577019,1.0,0.3949554339103519,lhs_component_flood,Flood scenario,0.9193273911880468,0.06316518113034497,0.06316518113034497,16.0,8.0,-8.0
Karawang,Wholesaler,Medium,0.853095238095238,0.7857142857142857,1.0,lhs_component_flood,Flood scenario,0.9152380952380951,0.062142857142857055,0.062142857142857055,17.0,11.0,-6.0
Subang,Retail,Medium,0.8530813319194467,1.0,0.3641466525278,lhs_component_flood,Flood scenario,0.9152195536703732,0.06213822175092654,0.06213822175092654,18.0,13.0,-5.0
Garut,Middlemen,Medium,0.8511622100577019,1.0,0.3949554339103519,lhs_component_flood,Flood scenario,0.9126607245213801,0.06149851446367827,0.06149851446367827,19.0,16.0,-3.0
Karawang,Retail,Low,0.8333333333333334,1.0,1.0,lhs_component_flood,Flood scenario,0.9999999999999999,0.16666666666666652,0.16666666666666652,20.0,1.0,-19.0
Garut,Wholesaler,Medium,0.8226872100577018,0.9061,0.3949554339103519,lhs_component_flood,Flood scenario,0.8746940578547135,0.0520068477970117,0.0520068477970117,21.0,21.0,0.0
Indramayu,Retail,Medium,0.8222601981351981,1.0,0.0559353146853146,lhs_component_flood,Flood scenario,0.8741247086247085,0.05186451048951035,0.05186451048951035,22.0,22.0,0.0
Tasikmalaya,Retail,Medium,0.8173224043715847,1.0,0.0065573770491803,lhs_component_flood,Flood scenario,0.8675409836065573,0.05021857923497264,0.05021857923497264,23.0,25.0,2.0
Karawang,Rice Miller,Low,0.8164583333333333,0.9625,1.0,lhs_component_flood,Flood scenario,0.9774999999999998,0.16104166666666653,0.16104166666666653,24.0,6.0,-18.0
Tasikmalaya,Middlemen,Medium,0.8123224043715846,1.0,0.0065573770491803,lhs_component_flood,Flood scenario,0.8608743169398906,0.04855191256830593,0.04855191256830593,25.0,28.0,3.0
Subang,Middlemen,Medium,0.8023075223956372,0.8169047619047619,0.3641466525278,lhs_component_flood,Flood scenario,0.8475211409719604,0.04521361857632322,0.04521361857632322,26.0,32.0,6.0
Karawang,Middlemen,Medium,0.7949999999999999,1.0,1.0,lhs_component_flood,Flood scenario,0.8377777777777776,0.04277777777777769,0.04277777777777769,27.0,34.0,7.0
Tasikmalaya,Rice Miller,High,0.7760580365554927,0.9982758620689656,0.0065573770491803,lhs_component_flood,Flood scenario,0.7014107154073236,-0.07464732114816908,0.07464732114816908,28.0,40.0,12.0
Garut,Retail,Low,0.7713343115069773,0.9940217391304348,0.3949554339103519,lhs_component_flood,Flood scenario,0.9173346375648584,0.14600032605788116,0.14600032605788116,29.0,10.0,-19.0
Karawang,Wholesaler,Low,0.7697619047619048,0.7857142857142857,1.0,lhs_component_flood,Flood scenario,0.9152380952380951,0.14547619047619031,0.14547619047619031,30.0,11.0,-19.0
Subang,Retail,Low,0.7697479985861134,1.0,0.3641466525278,lhs_component_flood,Flood scenario,0.9152195536703732,0.1454715550842598,0.1454715550842598,31.0,13.0,-18.0
Garut,Middlemen,Low,0.7678288767243686,1.0,0.3949554339103519,lhs_component_flood,Flood scenario,0.9126607245213801,0.14483184779701153,0.14483184779701153,32.0,16.0,-16.0
Indramayu,Middlemen,Medium,0.7487836356351981,0.72609375,0.0559353146853146,lhs_component_flood,Flood scenario,0.7761559586247084,0.02737232298951031,0.02737232298951031,33.0,36.0,3.0
Indramayu,Retail,Low,0.7389268648018649,1.0,0.0559353146853146,lhs_component_flood,Flood scenario,0.8741247086247085,0.1351978438228436,0.1351978438228436,34.0,22.0,-12.0
Tasikmalaya,Retail,Low,0.7339890710382514,1.0,0.0065573770491803,lhs_component_flood,Flood scenario,0.8675409836065573,0.1335519125683059,0.1335519125683059,35.0,25.0,-10.0
Tasikmalaya,Middlemen,Low,0.7204545882796306,0.9658620689655172,0.0065573770491803,lhs_component_flood,Flood scenario,0.849495006595063,0.12904041831543245,0.12904041831543245,36.0,31.0,-5.0
Garut,Wholesaler,Low,0.7144538767243686,0.8065000000000001,0.3949554339103519,lhs_component_flood,Flood scenario,0.8414940578547135,0.127040181130345,0.127040181130345,37.0,33.0,-4.0
Garut,Rice Miller,High,0.6862403350577019,0.9503125,0.3949554339103519,lhs_component_flood,Flood scenario,0.5816537800769357,-0.10458655498076619,0.10458655498076619,38.0,42.0,4.0
Subang,Rice Miller,High,0.6799563319194467,0.9375,0.3641466525278,lhs_component_flood,Flood scenario,0.5732751092259287,-0.10668122269351799,0.10668122269351799,39.0,43.0,4.0
Tasikmalaya,Rice Miller,Medium,0.6623152204635386,0.8766379310344827,0.0065573770491803,lhs_component_flood,Flood scenario,0.6608647383958292,-0.0014504820677094798,0.0014504820677094798,40.0,41.0,1.0
Indramayu,Rice Miller,High,0.6562675510763746,0.9660294117647058,0.0559353146853146,lhs_component_flood,Flood scenario,0.5416900681018325,-0.11457748297454207,0.11457748297454207,41.0,44.0,3.0
Karawang,Middlemen,Low,0.6557291666666667,0.77625,1.0,lhs_component_flood,Flood scenario,0.7631944444444443,0.10746527777777759,0.10746527777777759,42.0,37.0,-5.0
Subang,Middlemen,Low,0.6402539509670657,0.5020238095238095,0.3641466525278,lhs_component_flood,Flood scenario,0.7425608235116429,0.10230687254457715,0.10230687254457715,43.0,38.0,-5.0
Indramayu,Middlemen,Low,0.6315440523018648,0.59046875,0.0559353146853146,lhs_component_flood,Flood scenario,0.7309476252913751,0.0994035729895103,0.0994035729895103,44.0,39.0,-5.0
Indramayu,Wholesaler,High,0.6006976981351981,0.75375,0.0559353146853146,lhs_component_flood,Flood scenario,0.46759693084693066,-0.13310076728826747,0.13310076728826747,45.0,47.0,2.0
Karawang,Farmer,High,0.5609827044025156,0.2472641509433962,1.0,lhs_component_flood,Flood scenario,0.4146436058700208,-0.14633909853249483,0.14633909853249483,46.0,49.0,3.0
Subang,Wholesaler,High,0.5557896652527801,0.4508333333333333,0.3641466525278,lhs_component_flood,Flood scenario,0.40771955367037316,-0.1480701115824069,0.1480701115824069,47.0,52.0,5.0
Indramayu,Rice Miller,Medium,0.5350298059783354,0.8144117647058824,0.0559353146853146,lhs_component_flood,Flood scenario,0.4911508524155581,-0.04387895356277727,0.04387895356277727,48.0,46.0,-2.0
Garut,Farmer,High,0.528024454955661,0.3574489795918367,0.3949554339103519,lhs_component_flood,Flood scenario,0.3706992732742145,-0.1573251816814465,0.1573251816814465,49.0,55.0,6.0
Garut,Rice Miller,Medium,0.5090788767243686,0.5750000000000001,0.3949554339103519,lhs_component_flood,Flood scenario,0.456549613410269,-0.05252926331409957,0.05252926331409957,50.0,48.0,-2.0
Subang,Farmer,High,0.5068475656856803,0.2850649350649351,0.3641466525278,lhs_component_flood,Flood scenario,0.3424634209142403,-0.16438414477144003,0.16438414477144003,51.0,59.0,8.0
Indramayu,Farmer,High,0.4906876174900368,0.3437096774193548,0.0559353146853146,lhs_component_flood,Flood scenario,0.3209168233200489,-0.16977079416998792,0.16977079416998792,52.0,62.0,10.0
