flood_scenario,actor,ablation_scenario,mean_delta_failure_probability,mean_absolute_delta_failure_probability,full_failure_probability,ablated_failure_probability
Low,Rice Miller,No cost shock,0.08185714285714286,0.08185714285714286,0.4802142857142857,0.39835714285714285
Low,Rice Miller,No exposure modifier,0.004357142857142858,0.004357142857142858,0.4802142857142857,0.47585714285714287
Low,Rice Miller,No revenue shock,0.054571428571428576,0.054571428571428576,0.4802142857142857,0.42564285714285716
Low,Wholesaler,All stress drivers neutralized,0.09134868421052632,0.09134868421052632,0.4729276315789474,0.3815789473684211
Low,Wholesaler,No cost shock,0.04983552631578947,0.04983552631578947,0.4729276315789474,0.42309210526315794
Low,Wholesaler,No exposure modifier,0.0012499999999999983,0.0012499999999999983,0.4729276315789474,0.4716776315789473
Low,Wholesaler,No revenue shock,0.02569078947368421,0.02569078947368421,0.4729276315789474,0.4472368421052632
Medium,Farmer,All stress drivers neutralized,0.064675,0.064675,0.15967499999999998,0.095
Medium,Farmer,No cost shock,0.04529375,0.04529375,0.15967499999999998,0.11438124999999999
Medium,Farmer,No exposure modifier,0.0031437500000000003,0.0031437500000000003,0.15967499999999998,0.15653124999999998
Medium,Farmer,No revenue shock,0.03529375,0.03529375,0.15967499999999998,0.12438125
Medium,Middlemen,All stress drivers neutralized,0.2480528846153846,0.2480528846153846,0.9211298076923077,0.6730769230769231
Medium,Middlemen,No cost shock,0.12021634615384615,0.12021634615384615,0.9211298076923077,0.8009134615384615
Medium,Middlemen,No exposure modifier,0.003197115384615386,0.003197115384615386,0.9211298076923077,0.9179326923076924
Medium,Middlemen,No revenue shock,0.07038461538461539,0.07038461538461539,0.9211298076923077,0.8507451923076924
Medium,Retail,All stress drivers neutralized,0.029411764705882353,0.029411764705882353,1.0,0.9705882352941176
Medium,Retail,No cost shock,0.001323529411764706,0.001323529411764706,1.0,0.9986764705882353
Medium,Retail,No exposure modifier,0.0,0.0,1.0,1.0
Medium,Retail,No revenue shock,0.0,0.0,1.0,1.0
Medium,Rice Miller,All stress drivers neutralized,0.39426190476190476,0.39426190476190476,0.7180714285714285,0.3238095238095238
Medium,Rice Miller,No cost shock,0.2332857142857143,0.2332857142857143,0.7180714285714285,0.4847857142857143
Medium,Rice Miller,No exposure modifier,0.006666666666666666,0.006666666666666666,0.7180714285714285,0.711404761904762
Medium,Rice Miller,No revenue shock,0.15076190476190476,0.15076190476190476,0.7180714285714285,0.5673095238095238
Medium,Wholesaler,All stress drivers neutralized,0.22779605263157895,0.22779605263157895,0.609375,0.3815789473684211
Medium,Wholesaler,No cost shock,0.1339802631578947,0.1339802631578947,0.609375,0.4753947368421053
Medium,Wholesaler,No exposure modifier,0.003980263157894737,0.003980263157894737,0.609375,0.6053947368421052
Medium,Wholesaler,No revenue shock,0.09838815789473684,0.09838815789473684,0.609375,0.5109868421052631
