actor,region,n_x,median_vulnerability_score,mean_vulnerability_score,high_vulnerability_share,median_rc,negative_margin_share,flood_risk_label,n_y,mean_flood_probability,median_flood_probability,mean_pressure,hazard_score,flood_logistics_priority_score,priority_label
Rice Miller,Garut,24,0.2905172066996483,0.4414893983768946,41.66666666666667,1.2001199052649405,41.66666666666667,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.09587067821088395,Monitoring Priority
Wholesaler,Subang,21,0.28379183742195696,0.35017085753781757,14.285714285714285,1.6055718475073313,14.285714285714285,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.0936513063492458,Monitoring Priority
Wholesaler,Indramayu,16,0.2822816248928448,0.28791373334796305,0.0,1.208977109277308,0.0,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.09315293621463878,Monitoring Priority
Farmer,Indramayu,62,0.2675257001555904,0.324106401514575,9.67741935483871,1.7726244701492437,8.064516129032258,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.08828348105134484,Monitoring Priority
Farmer,Subang,77,0.26257026927541205,0.3204802733527138,9.090909090909092,1.9662363455809335,7.792207792207792,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.08664818886088597,Monitoring Priority
Farmer,Karawang,53,0.25925729675454445,0.31513072727841157,9.433962264150944,2.073170731707317,9.433962264150944,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.08555490792899967,Monitoring Priority
Farmer,Garut,98,0.25136393682652114,0.3844101670264439,21.428571428571427,2.3967020507106134,20.408163265306122,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.08295009915275198,Monitoring Priority
Farmer,Tasikmalaya,110,0.2389888923717274,0.2704166199486779,2.727272727272727,2.3788546255506606,1.8181818181818181,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.07886633448267005,Monitoring Priority
Rice Miller,Subang,21,0.16517928574659238,0.2979406787103806,19.047619047619047,1.3287835840807793,19.047619047619047,Low Flood Risk,16691,0.4455173446767719,0.45,4.455994533695091,0.33,0.054509164296375485,Monitoring Priority
Retail,Indramayu,16,0.8081790319444621,0.8018305302475748,100.0,0.47293670319838965,100.0,Medium Flood Risk,17298,0.49976760319112035,0.5,4.998949231675558,0.665,0.5374390562430673,High Priority
