flood_scenario,region,region_key,actor,n_units,fail_share,survive_share,median_stressed_margin,median_stressed_cost_revenue_ratio,median_combined_buffer,dominant_stress_risk_label,dominant_predicted_vulnerability_label,median_historical_flood_exposure_score,median_effective_cost_shock_pct,stress_priority_signal
Low,Subang,SUBANG,Rice Miller,21,0.19047619047619047,0.8095238095238095,64880058.00480276,0.791566622182696,0.24743200323943196,Survives Scenario,Low Vulnerability,0.3641466525278,0.051820733262639,Manageable
Low,Subang,SUBANG,Wholesaler,21,0.14285714285714285,0.8571428571428571,66478571.30180271,0.6551066119498812,0.3771689497716895,Survives Scenario,Low Vulnerability,0.3641466525278,0.051820733262639,Manageable
Low,Tasikmalaya,TASIKMALAYA,Farmer,110,0.02727272727272727,0.9727272727272728,6790278.721311476,0.44140267152398305,0.5796296296296296,Survives Scenario,Low Vulnerability,0.0065573770491803,0.05003278688524591,Manageable
Low,Tasikmalaya,TASIKMALAYA,Middlemen,29,0.9655172413793104,0.034482758620689655,-9881275.518431522,1.3609326461334659,-0.29608585858585856,Already Failed,High Vulnerability,0.0065573770491803,0.05003278688524591,Severe
Low,Tasikmalaya,TASIKMALAYA,Retail,28,1.0,0.0,-3356635.9836065574,2.118878661202186,-1.0179166666666668,Already Failed,High Vulnerability,0.0065573770491803,0.05003278688524591,Severe
Low,Tasikmalaya,TASIKMALAYA,Rice Miller,29,0.4482758620689655,0.5517241379310345,1305440.0,0.9758378220560211,0.07065966487514386,Survives Scenario,Medium Vulnerability,0.0065573770491803,0.05003278688524591,Watch
Medium,Garut,GARUT,Farmer,98,0.23469387755102042,0.7653061224489796,5416094.246130918,0.4822980109602218,0.5827598763919518,Survives Scenario,Low Vulnerability,0.3949554339103519,0.15592433150865526,Manageable
Medium,Garut,GARUT,Middlemen,24,1.0,0.0,-15440508.962716287,1.5694842001138896,-0.35777417027417024,Already Failed,High Vulnerability,0.3949554339103519,0.15592433150865526,Severe
Medium,Garut,GARUT,Retail,23,1.0,0.0,-3551138.4222027976,2.014610977772228,-0.7428571428571429,Already Failed,High Vulnerability,0.3949554339103519,0.15592433150865526,Severe
Medium,Garut,GARUT,Rice Miller,24,0.4583333333333333,0.5416666666666666,2506379.8854325507,0.9643885054709904,0.1656992770345805,Survives Scenario,Low Vulnerability,0.3949554339103519,0.15592433150865526,Watch
Medium,Garut,GARUT,Wholesaler,25,0.88,0.12,-17948184.743530035,1.247872857878662,-0.07954545454545454,Already Failed,High Vulnerability,0.3949554339103519,0.15592433150865526,Severe
Medium,Indramayu,INDRAMAYU,Farmer,62,0.11290322580645161,0.8870967741935484,14194384.731206294,0.649229016044414,0.4358646176588101,Survives Scenario,Low Vulnerability,0.0559353146853146,0.1508390297202797,Manageable
Medium,Indramayu,INDRAMAYU,Middlemen,16,0.625,0.375,-23188016.813184373,1.2515152923740638,-0.08748075104669877,Already Failed,High Vulnerability,0.0559353146853146,0.1508390297202797,High
Medium,Indramayu,INDRAMAYU,Retail,16,1.0,0.0,-3855743.283631993,2.4334491283435318,-1.1145,Already Failed,High Vulnerability,0.0559353146853146,0.1508390297202797,Severe
