iteration,rank,unit,region,actor,score
87,7,Garut — Wholesaler,Garut,Wholesaler,0.9150217268417457
87,8,Indramayu — Retail,Indramayu,Retail,0.9149116371224328
87,9,Subang — Middlemen,Subang,Middlemen,0.9129067046990278
87,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9104612133950283
88,1,Karawang — Retail,Karawang,Retail,1.0000000000000002
88,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9903419793723923
88,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9495411070295999
88,4,Garut — Retail,Garut,Retail,0.9230576175526345
88,5,Subang — Retail,Subang,Retail,0.9191397226193836
88,6,Garut — Middlemen,Garut,Middlemen,0.9166189371342293
88,7,Karawang — Middlemen,Karawang,Middlemen,0.8897192720163617
88,8,Garut — Wholesaler,Garut,Wholesaler,0.8889957751194648
88,9,Subang — Middlemen,Subang,Middlemen,0.8872500485836836
88,10,Indramayu — Retail,Indramayu,Retail,0.8799450649693601
89,1,Karawang — Retail,Karawang,Retail,0.9999999999999998
89,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9907651980264028
89,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9522989152996948
89,4,Garut — Retail,Garut,Retail,0.9266995500676919
89,5,Subang — Retail,Subang,Retail,0.9229671018088762
89,6,Garut — Middlemen,Garut,Middlemen,0.9205430154186273
89,7,Garut — Wholesaler,Garut,Wholesaler,0.8944384712431225
89,8,Subang — Middlemen,Subang,Middlemen,0.8928450686024892
89,9,Karawang — Middlemen,Karawang,Middlemen,0.8897433262693233
89,10,Indramayu — Retail,Indramayu,Retail,0.8856276544288209
90,1,Karawang — Retail,Karawang,Retail,1.0
90,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9933640249172127
90,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9530147862509765
90,4,Garut — Retail,Garut,Retail,0.9502063739297009
90,5,Subang — Retail,Subang,Retail,0.947670889726018
90,6,Garut — Middlemen,Garut,Middlemen,0.9457823905411759
90,7,Indramayu — Retail,Indramayu,Retail,0.9223058819773466
90,8,Garut — Wholesaler,Garut,Wholesaler,0.9198606724743067
90,9,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9182422035302091
90,10,Subang — Middlemen,Subang,Middlemen,0.9174195710970183
91,1,Karawang — Retail,Karawang,Retail,1.0
91,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9938235629509629
91,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9540499123112709
91,4,Garut — Retail,Garut,Retail,0.949096842181677
91,5,Subang — Retail,Subang,Retail,0.9465048607826179
91,6,Garut — Middlemen,Garut,Middlemen,0.944979217482319
91,7,Indramayu — Retail,Indramayu,Retail,0.9205746545616302
91,8,Garut — Wholesaler,Garut,Wholesaler,0.9196019673152078
91,9,Subang — Middlemen,Subang,Middlemen,0.9168459647698824
91,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9164204267689902
92,1,Karawang — Retail,Karawang,Retail,0.9999999999999998
92,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9921878500940514
92,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9511914860606905
92,4,Garut — Retail,Garut,Retail,0.9410754353032909
92,5,Subang — Retail,Subang,Retail,0.9380750050316239
92,6,Garut — Middlemen,Garut,Middlemen,0.935867335365992
92,7,Garut — Wholesaler,Garut,Wholesaler,0.9090177209780732
92,8,Indramayu — Retail,Indramayu,Retail,0.9080586724590777
92,9,Subang — Middlemen,Subang,Middlemen,0.9068668331243797
92,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9032498143287837
93,1,Karawang — Retail,Karawang,Retail,0.9999999999999999
93,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9932707726776018
93,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9600244429103583
93,4,Garut — Retail,Garut,Retail,0.9526682209210634
93,5,Subang — Retail,Subang,Retail,0.9502580936084347
93,6,Garut — Middlemen,Garut,Middlemen,0.948182069372798
93,7,Garut — Wholesaler,Garut,Wholesaler,0.9262195716950122
93,8,Indramayu — Retail,Indramayu,Retail,0.9261471573733302
93,9,Subang — Middlemen,Subang,Middlemen,0.9247758949408242
93,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9222843912788063
94,1,Karawang — Retail,Karawang,Retail,1.0
94,2,Karawang — Rice Miller,Karawang,Rice Miller,0.993765538658827
94,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9527954704116098
94,4,Garut — Retail,Garut,Retail,0.9425897031457997
94,5,Subang — Retail,Subang,Retail,0.9396663791726259
94,6,Garut — Middlemen,Garut,Middlemen,0.9384333955850177
94,7,Garut — Wholesaler,Garut,Wholesaler,0.9123539518588195
94,8,Indramayu — Retail,Indramayu,Retail,0.9104214187332231
94,9,Subang — Middlemen,Subang,Middlemen,0.9091716598796924
94,10,Tasikmalaya — Retail,Tasikmalaya,Retail,0.9057361406287362
95,1,Karawang — Retail,Karawang,Retail,1.0
95,2,Karawang — Rice Miller,Karawang,Rice Miller,0.9935167960818939
95,3,Karawang — Wholesaler,Karawang,Wholesaler,0.9634703304607407
95,4,Garut — Retail,Garut,Retail,0.9432768650788582
95,5,Subang — Retail,Subang,Retail,0.9403885312914599
95,6,Garut — Middlemen,Garut,Middlemen,0.9389547291334542
95,7,Garut — Wholesaler,Garut,Wholesaler,0.9189137637589865
95,8,Subang — Middlemen,Subang,Middlemen,0.9171818252587143
95,9,Indramayu — Retail,Indramayu,Retail,0.9114936129986566
