region,region_key,actor,flood_scenario,n_units,lhs_mean_failure_probability,lhs_median_failure_probability,lhs_p75_failure_probability,lhs_expected_stressed_margin,lhs_p05_stressed_margin,lhs_p50_stressed_margin,lhs_p95_stressed_margin,historical_flood_exposure_score,historical_flood_exposure_level,dominant_lhs_risk_label
Karawang,KARAWANG,Wholesaler,Medium,14,0.7857142857142857,1.0,1.0,-2788720.486542923,-64615829.316331044,-51582793.98829846,-40064332.10405481,1.0,High,Critical
Subang,SUBANG,Farmer,High,77,0.2850649350649351,0.0,0.85,6609906.26385055,1834195.7483052642,3668729.488594119,5432281.485950109,0.3641466525278,Medium,Low
Subang,SUBANG,Farmer,Low,77,0.10766233766233765,0.0,0.0,17893146.837938093,10414919.173812713,10824923.406475965,11634100.467566973,0.3641466525278,Medium,Low
Subang,SUBANG,Farmer,Medium,77,0.15652597402597404,0.0,0.0,13467364.042753637,6146734.340840955,7263047.498901599,8450443.794622643,0.3641466525278,Medium,Low
Subang,SUBANG,Middlemen,High,21,0.9083333333333333,1.0,1.0,-46551727.154793546,-58019842.804932766,-45748749.14829471,-31720785.026788242,0.3641466525278,Medium,Critical
Subang,SUBANG,Middlemen,Low,21,0.5020238095238095,0.5375,1.0,10313863.006154612,-5740940.9244601065,-290862.8353332281,4951676.00353986,0.3641466525278,Medium,Low
Subang,SUBANG,Middlemen,Medium,21,0.8169047619047619,1.0,1.0,-12100395.928465579,-22354690.504170246,-14044572.238859694,-8906683.266124561,0.3641466525278,Medium,Critical
Subang,SUBANG,Retail,High,19,1.0,1.0,1.0,-3923992.9491202347,-5082222.997153336,-4608668.634135993,-4101501.1849827813,0.3641466525278,Medium,Critical
Subang,SUBANG,Retail,Low,19,1.0,1.0,1.0,-2340617.152111485,-2998913.205781217,-2880968.379588058,-2760254.399479316,0.3641466525278,Medium,Critical
Subang,SUBANG,Retail,Medium,19,1.0,1.0,1.0,-2968312.7731125937,-3884798.507908878,-3598286.211984509,-3318174.498802355,0.3641466525278,Medium,Critical
Subang,SUBANG,Rice Miller,High,21,0.9375,1.0,1.0,-46439882.22273127,-75170535.25045426,-38449656.213289455,-21958137.791753992,0.3641466525278,Medium,Critical
Subang,SUBANG,Rice Miller,Low,21,0.19047619047619047,0.0,0.0,44173706.886016764,52082144.61044475,57041469.47408642,61948545.64951496,0.3641466525278,Medium,Low
Subang,SUBANG,Rice Miller,Medium,21,0.39535714285714285,0.0575,0.99,8495151.272533894,-88278.83865722094,19224173.171933353,36202839.50307176,0.3641466525278,Medium,Low
Subang,SUBANG,Wholesaler,High,21,0.4508333333333333,0.3675,0.9775,2364822.0001804708,-14352344.979760978,10000581.583796442,22581538.74382982,0.3641466525278,Medium,Low
Subang,SUBANG,Wholesaler,Low,21,0.14285714285714285,0.0,0.0,74133089.65664019,52001991.23865979,56288608.994178236,63989409.71926662,0.3641466525278,Medium,Low
Subang,SUBANG,Wholesaler,Medium,21,0.16297619047619047,0.0,0.0,45928230.45085369,26371118.7910302,39265346.30217397,46955136.12934376,0.3641466525278,Medium,Low
Tasikmalaya,TASIKMALAYA,Farmer,High,110,0.1960909090909091,0.0,0.2375,6808585.852480427,1683369.6800311853,2813570.744540788,3926800.212326671,0.0065573770491803,Low,Low
Tasikmalaya,TASIKMALAYA,Farmer,Low,110,0.035772727272727275,0.0,0.0,11392057.498164743,6272443.49139281,6448463.068192851,6628438.154124466,0.0065573770491803,Low,Low
Tasikmalaya,TASIKMALAYA,Farmer,Medium,110,0.07586363636363637,0.0,0.0,9599266.38916657,4795895.451815473,5364671.258471574,5797085.461452308,0.0065573770491803,Low,Low
Tasikmalaya,TASIKMALAYA,Middlemen,High,29,1.0,1.0,1.0,-32249559.042647567,-31026291.56050583,-26919532.219563898,-21236063.337251343,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Middlemen,Low,29,0.9658620689655173,1.0,1.0,-10834945.19622947,-11290853.975454787,-10710409.670392577,-9995630.973219054,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Middlemen,Medium,29,1.0,1.0,1.0,-19295577.423077278,-19435174.660821483,-17363824.821359828,-14689217.715817438,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Retail,High,28,1.0,1.0,1.0,-5271067.648962705,-5972071.39276771,-5374457.786658181,-4722274.235714462,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Retail,Low,28,1.0,1.0,1.0,-3389546.5869363965,-3573764.7797606895,-3448996.0717008347,-3323522.011075886,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Retail,Medium,28,1.0,1.0,1.0,-4136124.7709810673,-4501130.502704061,-4193823.7620052844,-3899912.775053069,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Rice Miller,High,29,0.9982758620689655,1.0,1.0,-42109865.101786345,-19002891.495846063,-15036787.190827014,-9904763.288558396,0.0065573770491803,Low,Critical
Tasikmalaya,TASIKMALAYA,Rice Miller,Low,29,0.5047413793103448,0.6425,1.0,4071186.653041176,-1370128.158758323,-266121.6558968052,1130332.6550877898,0.0065573770491803,Low,Low
Tasikmalaya,TASIKMALAYA,Rice Miller,Medium,29,0.8766379310344827,1.0,1.0,-14138163.46958305,-7251170.983266573,-4959588.396202926,-2867662.9018005896,0.0065573770491803,Low,Critical
