region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,base_priority_sort_score,regional_exposure_priority_modifier,priority_sort_score,priority_reason,recommended_action,region_key,vulnerability_rank,flood_rank,lhs_mean_failure_probability,lhs_median_failure_probability,lhs_p75_failure_probability,lhs_expected_stressed_margin,lhs_p05_stressed_margin,lhs_p50_stressed_margin,lhs_p95_stressed_margin,dominant_lhs_risk_label,historical_flood_exposure_score,historical_flood_exposure_level,lhs_component_vulnerability,lhs_component_flood,lhs_component_failure_probability,lhs_component_historical_exposure,lhs_component_actor_role,lhs_enhanced_priority_score,lhs_enhanced_priority_label
Garut,Wholesaler,Medium,0.4999999437061118,High Vulnerability,0.72,0.88,0.12,Already Failed,-7000000.0,1.0795454545454546,-17948184.743530035,1.247872857878662,Critical,5,0.8593333333333334,1.0394955433910351,0.8932731702873629,Flood=Medium; Vulnerability=High Vulnerability; FailShare=88%; Median C/R=1.08; HistFloodExp=0.39,Prepare buffer stock and route contingency for bulk distribution.,GARUT,3.0,2.0,0.9061,1.0,1.0,-42796443.82617223,-26358306.69950218,-22700183.4716848,-18892992.91315789,Critical,0.3949554339103519,Medium,0.35,0.16666666666666666,0.226525,0.0394955433910352,0.04000000000000001,0.8226872100577018,Critical
Indramayu,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-3855743.283631993,2.433449128343532,Critical,5,0.8833333333333333,1.0055935314685314,0.888274286130536,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",INDRAMAYU,3.0,2.0,1.0,1.0,1.0,-4061631.9139410662,-4341959.986767992,-4059667.324305674,-3785721.473730183,Critical,0.0559353146853146,Low,0.35,0.16666666666666666,0.25,0.00559353146853146,0.05,0.8222601981351981,Critical
Tasikmalaya,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-3962407.950819673,2.320802650273224,Critical,5,0.8833333333333333,1.000655737704918,0.883912568306011,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=0.01,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",TASIKMALAYA,3.0,2.0,1.0,1.0,1.0,-4136124.7709810673,-4501130.502704061,-4193823.762005285,-3899912.775053069,Critical,0.0065573770491803,Low,0.35,0.16666666666666666,0.25,0.0006557377049180301,0.05,0.8173224043715847,Critical
Karawang,Rice Miller,Low,0.4500022590135356,High Vulnerability,0.7142857142857143,0.7857142857142857,0.2142857142857142,Already Failed,-5688835.470085483,1.0644027757500236,-9782477.959401712,1.122944928416275,High,4,0.7238095238095238,1.1,0.7961904761904762,Flood=Low; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.06; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.,KARAWANG,3.0,1.0,0.9625,1.0,1.0,-12996434.112294564,-14810264.212658238,-12335168.712982057,-10367511.414487123,Critical,1.0,High,0.35,0.08333333333333333,0.240625,0.1,0.0425,0.8164583333333333,Critical
Tasikmalaya,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.7931034482758621,1.0,0.0,Already Failed,-7685346.798251651,1.2960858585858586,-13817541.639344268,1.4906262212286805,Critical,5,0.8833333333333333,1.000655737704918,0.883912568306011,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.30; HistFloodExp=0.01,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",TASIKMALAYA,3.0,2.0,1.0,1.0,1.0,-19295577.42307728,-19435174.660821483,-17363824.821359828,-14689217.715817438,Critical,0.0065573770491803,Low,0.35,0.16666666666666666,0.25,0.0006557377049180301,0.045000000000000005,0.8123224043715846,Critical
Subang,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.4285714285714285,0.5714285714285714,0.4285714285714285,Already Failed,14840000.0,0.9223993288590604,-7844958.611071303,1.065797557606388,High,4,0.7976190476190477,1.03641466525278,0.8266640782373365,Flood=Medium; Vulnerability=High Vulnerability; FailShare=57%; Median C/R=0.92; HistFloodExp=0.36,Prepare contingency plan because many units fail under stress scenario.,SUBANG,3.0,2.0,0.8169047619047619,1.0,1.0,-12100395.92846558,-22354690.504170246,-14044572.238859694,-8906683.266124561,Critical,0.3641466525278,Medium,0.35,0.16666666666666666,0.20422619047619048,0.03641466525278,0.045000000000000005,0.8023075223956372,Critical
Karawang,Middlemen,Medium,0.4999999437061118,Medium Vulnerability,0.5,1.0,0.0,Fails Under Scenario,-1525000.0,1.017790404040404,-9391250.0,1.1857258207070709,Critical,5,0.7333333333333334,1.1,0.8066666666666668,Flood=Medium; Vulnerability=Medium Vulnerability; FailShare=100%; Median C/R=1.02; HistFloodExp=1.00,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",KARAWANG,2.0,2.0,1.0,1.0,1.0,-18782355.573541608,-22119051.88094812,-16824058.062880505,-11993199.988185108,Critical,1.0,High,0.2333333333333333,0.16666666666666666,0.25,0.1,0.045000000000000005,0.7949999999999999,Critical
Tasikmalaya,Rice Miller,High,0.5499976285304322,Medium Vulnerability,0.2758620689655172,0.9310344827586208,0.0689655172413793,Critical Under High Stress,2160000.0,0.929340335124856,-7294197.493418165,1.2083252567118457,Critical,5,0.8362068965517241,1.000655737704918,0.8367552289429057,Flood=High; Vulnerability=Medium Vulnerability; FailShare=93%; Median C/R=0.93; HistFloodExp=0.01,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity.",TASIKMALAYA,2.0,3.0,0.9982758620689656,1.0,1.0,-42109865.101786345,-19002891.495846063,-15036787.190827014,-9904763.288558396,Critical,0.0065573770491803,Low,0.2333333333333333,0.25,0.2495689655172414,0.0006557377049180301,0.0425,0.7760580365554927,Critical
Garut,Retail,Low,0.4500022590135356,High Vulnerability,0.9130434782608696,0.9565217391304348,0.0434782608695652,Already Failed,-2600000.0,1.7428571428571429,-2917046.1407342656,1.8334417544955044,High,4,0.7579710144927536,1.0394955433910351,0.7879074915847991,Flood=Low; Vulnerability=High Vulnerability; FailShare=96%; Median C/R=1.74; HistFloodExp=0.39,Prepare contingency plan because many units fail under stress scenario.,GARUT,3.0,1.0,0.9940217391304348,1.0,1.0,-2464189.1208997555,-3158362.891200964,-3029110.9509649966,-2894432.8931917087,Critical,0.3949554339103519,Medium,0.35,0.08333333333333333,0.2485054347826087,0.0394955433910352,0.05,0.7713343115069773,Critical
Karawang,Wholesaler,Low,0.4500022590135356,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-12835750.0,1.0740199097938143,High,4,0.7238095238095238,1.1,0.7961904761904762,Flood=Low; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.,KARAWANG,3.0,1.0,0.7857142857142857,1.0,1.0,49627474.92774658,-23905470.11516072,-19147708.04496984,-14457743.771651248,Critical,1.0,High,0.35,0.08333333333333333,0.19642857142857142,0.1,0.04000000000000001,0.7697619047619048,Critical
Subang,Retail,Low,0.4500022590135356,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-2785014.0329445144,1.8231559376552409,High,4,0.7666666666666666,1.03641466525278,0.7945845766937979,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73; HistFloodExp=0.36,Prepare contingency plan because many units fail under stress scenario.,SUBANG,3.0,1.0,1.0,1.0,1.0,-2340617.152111485,-2998913.205781217,-2880968.379588058,-2760254.399479316,Critical,0.3641466525278,Medium,0.35,0.08333333333333333,0.25,0.03641466525278,0.05,0.7697479985861134,Critical
Garut,Middlemen,Low,0.4500022590135356,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-9591092.53351,1.4283441802207433,High,4,0.7666666666666666,1.0394955433910351,0.7969465832664602,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36; HistFloodExp=0.39,Prepare contingency plan because many units fail under stress scenario.,GARUT,3.0,1.0,1.0,1.0,1.0,-11248205.403785083,-11528963.741927529,-10527502.74558428,-9824601.050065735,Critical,0.3949554339103519,Medium,0.35,0.08333333333333333,0.25,0.0394955433910352,0.045000000000000005,0.7678288767243686,Critical
Indramayu,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.5625,0.625,0.375,Already Failed,-6617415.258776158,1.0874807510466988,-23188016.813184373,1.2515152923740638,High,4,0.8083333333333333,1.0055935314685314,0.8128547712703962,Flood=Medium; Vulnerability=High Vulnerability; FailShare=62%; Median C/R=1.09; HistFloodExp=0.06,Prepare contingency plan because many units fail under stress scenario.,INDRAMAYU,3.0,2.0,0.72609375,1.0,1.0,-20784052.69581731,-35724718.29372176,-30095927.899215303,-25111187.71613884,Critical,0.0559353146853146,Low,0.35,0.16666666666666666,0.1815234375,0.00559353146853146,0.045000000000000005,0.7487836356351981,High
Indramayu,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-3297420.694886363,2.2208163761145103,High,4,0.7666666666666666,1.0055935314685314,0.7709550407925406,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,Prepare contingency plan because many units fail under stress scenario.,INDRAMAYU,3.0,1.0,1.0,1.0,1.0,-3344837.1681667776,-3487257.776544693,-3371510.8501411323,-3255284.1418378064,Critical,0.0559353146853146,Low,0.35,0.08333333333333333,0.25,0.00559353146853146,0.05,0.7389268648018649,High
